id,name,gender,year,place,url,image
14744,"Aksel, Erdag",Male,1953,"Izmir, Türkiye",http://www.tate.org.uk/art/artists/erdag-aksel-14744,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
6711,"Kippenberger, Martin",Male,1953,"Dortmund, Deutschland",http://www.tate.org.uk/art/artists/martin-kippenberger-6711,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1526,"Longo, Robert",Male,1953,"Brooklyn, United States",http://www.tate.org.uk/art/artists/robert-longo-1526,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
13597,"Epstein, Mitch",Male,1952,"Holyoke, United States",http://www.tate.org.uk/art/artists/mitch-epstein-13597,http://www.tate.org.uk/art/images/work/L/L02/L02961_7.jpg
896,"Cheese, Chloe",Female,1952,"London, United Kingdom",http://www.tate.org.uk/art/artists/chloe-cheese-896,http://www.tate.org.uk/art/images/work/P/P06/P06770_7.jpg
2750,"Parr, Martin",Male,1952,"Epsom, United Kingdom",http://www.tate.org.uk/art/artists/martin-parr-2750,http://www.tate.org.uk/art/images/work/P/P11/P11922_7.jpg
6500,"Bjørlo, Per Inge",Male,1952,"Ålesund, Norge",http://www.tate.org.uk/art/artists/per-inge-bjrlo-6500,http://www.tate.org.uk/art/images/work/P/P12/P12031_7.jpg
2688,"Coldwell, Paul",Male,1952,"London, United Kingdom",http://www.tate.org.uk/art/artists/paul-coldwell-2688,http://www.tate.org.uk/art/images/work/P/P78/P78274_7.jpg
2365,"Hatoum, Mona",Female,1952,"Bayrut, Al-Lubnan",http://www.tate.org.uk/art/artists/mona-hatoum-2365,http://www.tate.org.uk/art/images/work/P/P80/P80087_7.jpg
917,"Clemente, Francesco",Male,1952,"Napoli, Italia",http://www.tate.org.uk/art/artists/francesco-clemente-917,http://www.tate.org.uk/art/images/work/T/T03/T03551_7.jpg
2066,"Trockel, Rosemarie",Female,1952,"Schwerte, Deutschland",http://www.tate.org.uk/art/artists/rosemarie-trockel-2066,http://www.tate.org.uk/art/images/work/T/T04/T04931_7.jpg
1892,"Salle, David",Male,1952,"Norman, United States",http://www.tate.org.uk/art/artists/david-salle-1892,http://www.tate.org.uk/art/images/work/T/T07/T07176_7.jpg
2639,"Lalic, Maria",Female,1952,"Yorkshire, United Kingdom",http://www.tate.org.uk/art/artists/maria-lalic-2639,http://www.tate.org.uk/art/images/work/T/T07/T07291_7.jpg
6992,"Bustamante, Jean-Marc",Male,1952,"Toulouse, France",http://www.tate.org.uk/art/artists/jean-marc-bustamante-6992,http://www.tate.org.uk/art/images/work/T/T11/T11941_7.jpg
2757,"Fischli, Peter",Male,1952,"Zürich, Schweiz",http://www.tate.org.uk/art/artists/peter-fischli-2757,http://www.tate.org.uk/art/images/work/T/T12/T12468_7.jpg
12243,"Smith, John",Male,1952,"Walthamstow, United Kingdom",http://www.tate.org.uk/art/artists/john-smith-12243,http://www.tate.org.uk/art/images/work/T/T13/T13237_7.jpg
14349,"Robilliard, David",Male,1952,"Channel Islands, United Kingdom",http://www.tate.org.uk/art/artists/david-robilliard-14349,http://www.tate.org.uk/art/images/work/T/T13/T13327_7.jpg
10983,"Beban, Breda",Female,1952,"Novi Sad, Jugoslavija",http://www.tate.org.uk/art/artists/breda-beban-10983,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
14637,"Buchler, Pavel",Male,1952,Ceská Republika,http://www.tate.org.uk/art/artists/pavel-buchler-14637,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
